epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
109,200.393,1.36491,0.9842,1.2428,0.73161,0.54519,0.65217,0.33315,1.72171,1.19055,1.4535,0.002327,0.002327,0.002327
110,201.765,1.37744,0.98538,1.2753,0.72716,0.58421,0.67341,0.34966,1.70123,1.16113,1.43992,0.00230225,0.00230225,0.00230225
111,203.31,1.35294,0.9537,1.22577,0.69675,0.58047,0.65671,0.34765,1.70564,1.13892,1.45298,0.0022775,0.0022775,0.0022775
112,204.92,1.33458,0.93843,1.2346,0.69675,0.58047,0.65671,0.34765,1.70564,1.13892,1.45298,0.00225275,0.00225275,0.00225275
113,206.702,1.34107,0.94121,1.21011,0.76832,0.53158,0.67243,0.35192,1.6703,1.14991,1.43002,0.002228,0.002228,0.002228
114,209.186,1.3654,0.95446,1.22192,0.76832,0.53158,0.67243,0.35192,1.6703,1.14991,1.43002,0.00220325,0.00220325,0.00220325
115,211.129,1.30998,0.96383,1.23869,0.66018,0.60526,0.67113,0.34915,1.68487,1.18069,1.44807,0.0021785,0.0021785,0.0021785
116,212.506,1.36199,0.95679,1.24147,0.627,0.61579,0.64669,0.341,1.70117,1.17909,1.46236,0.00215375,0.00215375,0.00215375
117,213.914,1.36346,0.97132,1.23182,0.627,0.61579,0.64669,0.341,1.70117,1.17909,1.46236,0.002129,0.002129,0.002129
118,215.557,1.36745,0.99517,1.28296,0.67095,0.59024,0.66677,0.34879,1.69659,1.15747,1.46847,0.00210425,0.00210425,0.00210425
119,216.945,1.34181,0.94735,1.22337,0.75817,0.56316,0.67533,0.35139,1.68599,1.14925,1.46277,0.0020795,0.0020795,0.0020795
120,218.38,1.30152,0.94742,1.22762,0.75817,0.56316,0.67533,0.35139,1.68599,1.14925,1.46277,0.00205475,0.00205475,0.00205475
121,220.101,1.25897,0.91717,1.19332,0.72847,0.57895,0.66177,0.35138,1.67235,1.14269,1.46221,0.00203,0.00203,0.00203
122,222.112,1.32861,0.955,1.22964,0.72847,0.57895,0.66177,0.35138,1.67235,1.14269,1.46221,0.00200525,0.00200525,0.00200525
123,224.461,1.31781,0.94268,1.22923,0.70065,0.56316,0.64168,0.34136,1.70595,1.15736,1.49618,0.0019805,0.0019805,0.0019805
124,226.003,1.29314,0.90147,1.18309,0.69452,0.5265,0.62031,0.32257,1.73365,1.19512,1.51762,0.00195575,0.00195575,0.00195575
125,227.51,1.2832,0.9248,1.20406,0.69452,0.5265,0.62031,0.32257,1.73365,1.19512,1.51762,0.001931,0.001931,0.001931
126,228.925,1.29174,0.91611,1.21372,0.68201,0.57895,0.64429,0.32703,1.71936,1.20707,1.4944,0.00190625,0.00190625,0.00190625
127,230.397,1.24774,0.90933,1.20284,0.70931,0.57368,0.65945,0.33433,1.66927,1.17438,1.44315,0.0018815,0.0018815,0.0018815
128,231.79,1.28859,0.95476,1.24378,0.70931,0.57368,0.65945,0.33433,1.66927,1.17438,1.44315,0.00185675,0.00185675,0.00185675
129,233.182,1.25874,0.91894,1.21848,0.78347,0.53158,0.65806,0.3317,1.67764,1.18544,1.44197,0.001832,0.001832,0.001832
130,234.596,1.2645,0.94189,1.20105,0.78347,0.53158,0.65806,0.3317,1.67764,1.18544,1.44197,0.00180725,0.00180725,0.00180725
131,237.084,1.22981,0.90307,1.2078,0.76696,0.53684,0.66022,0.32356,1.68223,1.19694,1.45048,0.0017825,0.0017825,0.0017825
132,239.264,1.25476,0.88257,1.18903,0.73423,0.55789,0.65807,0.31876,1.72559,1.21639,1.49952,0.00175775,0.00175775,0.00175775
133,240.646,1.24613,0.91373,1.22351,0.73423,0.55789,0.65807,0.31876,1.72559,1.21639,1.49952,0.001733,0.001733,0.001733
134,242.235,1.24258,0.87904,1.19134,0.66555,0.57895,0.66064,0.32899,1.69476,1.20206,1.46863,0.00170825,0.00170825,0.00170825
135,243.695,1.25806,0.89947,1.20676,0.73007,0.59789,0.66102,0.33867,1.68935,1.18146,1.45606,0.0016835,0.0016835,0.0016835
